,0
wasserstein_age,25.690111570386918
tvd_workclass,0.46175
wasserstein_fnlwgt,217907.69282376705
tvd_education,0.571
tvd_marital-status,0.5795
tvd_occupation,0.3415
tvd_relationship,0.3777499999999999
tvd_race,0.6759999999999999
tvd_sex,0.27674999999999994
wasserstein_capital-gain,3671.1070611268406
wasserstein_capital-loss,264.7012604793052
wasserstein_hours-per-week,24.056856936903014
tvd_native-country,0.823
tvd_income,0.06099999999999997
mean_corr_diff,0.06549490363533174
max_corr_diff,0.16490162374331307
pmse,0.24170223880226055
auc,0.99994
