,0
wasserstein_age,18.143500014299626
tvd_workclass,0.5305000000000001
wasserstein_fnlwgt,251696.35302580157
tvd_education,0.49299999999999994
tvd_marital-status,0.30825
tvd_occupation,0.40224999999999994
tvd_relationship,0.6155
tvd_race,0.80625
tvd_sex,0.14675
wasserstein_capital-gain,11075.386024158128
wasserstein_capital-loss,225.5173611473571
wasserstein_hours-per-week,24.87514397966889
tvd_native-country,0.7442500000000001
tvd_income,0.13524999999999998
mean_corr_diff,0.04081323614166997
max_corr_diff,0.10958683201025525
pmse,0.24999999181892557
auc,1.0
