,0
wasserstein_age,27.832907068143257
tvd_workclass,0.623
wasserstein_fnlwgt,341910.8862148723
tvd_education,0.5840000000000001
tvd_marital-status,0.61425
tvd_occupation,0.27999999999999997
tvd_relationship,0.578
tvd_race,0.31
tvd_sex,0.562
wasserstein_capital-gain,5250.254888405168
wasserstein_capital-loss,540.3143443279083
wasserstein_hours-per-week,23.552724449611787
tvd_native-country,0.85925
tvd_income,0.66475
mean_corr_diff,0.04587329487966991
max_corr_diff,0.10027775008068938
pmse,0.2499967435960136
auc,1.0
