,0
wasserstein_age,3.0542155976203245
tvd_workclass,0.5589999999999999
wasserstein_fnlwgt,169976.6332904119
tvd_education,0.6225
tvd_marital-status,0.5355
tvd_occupation,0.35124999999999995
tvd_relationship,0.538
tvd_race,0.576
tvd_sex,0.27925
wasserstein_capital-gain,5737.913897537846
wasserstein_capital-loss,110.65528412882632
wasserstein_hours-per-week,2.6191809266851083
tvd_native-country,0.67175
tvd_income,0.33724999999999994
mean_corr_diff,0.062046536402007954
max_corr_diff,0.127426778323552
pmse,0.2485046316885117
auc,0.9999950000000001
