,0
wasserstein_age,14.379146529536769
tvd_workclass,0.5954999999999999
wasserstein_fnlwgt,225003.64192445241
tvd_education,0.64975
tvd_marital-status,0.29000000000000004
tvd_occupation,0.42400000000000004
tvd_relationship,0.37849999999999995
tvd_race,0.8034999999999999
tvd_sex,0.25925
wasserstein_capital-gain,2384.9795092459262
wasserstein_capital-loss,263.26655581011863
wasserstein_hours-per-week,25.241071858694124
tvd_native-country,0.4267500000000001
tvd_income,0.5785
mean_corr_diff,0.049891147929707655
max_corr_diff,0.1438221257458689
pmse,0.23731707905856253
auc,0.99982125
